condition,median,median_ci_lo,median_ci_hi,p95,p95_ci_lo,p95_ci_hi
C1_control_only,16.61955,16.0134,17.2293,58.102709999999995,53.8797,63.4112
C2_video_normal,15.87115,15.1889,16.589399999999998,55.256954999999984,50.82922449999998,60.85078499999991
C3_lidar_detail,15.65405,14.9504,16.1517,55.45294999999999,48.482364999999994,60.9181
C4_lidar_medium,17.3,16.681,18.02708625,63.60013999999996,58.3639,69.90901
C5_lidar_panorama,17.86315,16.9723,18.38945,65.52862,62.52614499999999,70.1833
C6_full_detail,16.12925,15.3236,16.699468749999998,55.31850499999998,50.48633499999999,60.8792
C7_full_panorama,17.6035,17.016849999999998,18.738744999999998,71.87405499999998,66.703521,75.1474
