condition,n,mean,median,min,max,p95,p99,jitter_std
C1_control_only,1050,22.535419142857144,16.61955,3.4435,303.5662,58.102709999999995,117.42531999999986,23.380242968439852
C2_video_normal,1050,20.201568476190477,15.87115,3.633,111.4726,55.256954999999984,76.844702,15.238352956709706
C3_lidar_detail,1050,19.62966085714286,15.65405,3.6168,121.902,55.45294999999999,86.73530899999994,15.907801916485933
C4_lidar_medium,1050,22.681991238095236,17.3,3.3081,156.3673,63.60013999999996,93.49071199999995,19.00360436664129
C5_lidar_panorama,1050,24.50808961904762,17.86315,3.8908,117.5022,65.52862,82.839687,18.982375401386385
C6_full_detail,1050,20.339973047619047,16.12925,3.9296,130.7514,55.31850499999998,71.45265099999997,15.013958416420598
C7_full_panorama,1050,25.078932666666667,17.6035,3.5574,118.6714,71.87405499999998,83.86175499999999,19.785674678165503
