condition,U,p_raw,cliffs_delta,p_holm
C2_video_normal,520250.0,0.025666357321888215,-0.05623582766439905,0.07699907196566465
C3_lidar_detail,503040.5,0.000520660475173373,-0.08745487528344675,0.0031239628510402384
C4_lidar_medium,558262.0,0.6137973700058921,0.012720181405895703,0.6137973700058921
C5_lidar_panorama,591958.0,0.00338997984563294,0.07384671201814053,0.01476383179615374
C6_full_detail,526556.0,0.07551202370373392,-0.04479637188208618,0.15102404740746783
C7_full_panorama,592550.5,0.002952766359230748,0.07492154195011347,0.01476383179615374
