C1:1
C3:1
CONN01X06:1
D2:1
D3:1
DATA_IN1:1
DATA_OUT1:1
ESP32-C3:1
G***:2
H1:1
H2:1
H3:1
H4:1
R1:1
R10:1
R11:1
R16:1
R20:1
R21:1
R3:1
R4:1
R5:1
R7:1
R9:1
SW2:1
U1:1
U2:1
U3:1
U4:1
U5:1
U6:1
VP_IN1:1
VP_IN2:1
VP_IN3:1
VP_IN4:1
